lead_email,type,channel,duration,value
ines.mansour89@pfe-project.tn,website_visit,web,30,"{""page"": ""/home""}"
ines.bouaziz90@pfe-project.tn,email_opened,email,0,"{""campaign"": ""discount_may""}"
sarra.belkadhi91@pfe-project.tn,website_visit,web,125,"{""page"": ""/features/analytics""}"
zied.zahra92@pfe-project.tn,meeting,phone,1340,"{""summary"": ""Qualification telephonique - Lead tres chaud (CTO)""}"
karim.mansour85@pfe-project.tn,form_submit,web,0,"{""form_id"": ""request_quote_v2""}"
sami.gharbi86@pfe-project.tn,meeting,phone,1600,"{""summary"": ""Validation finale du scope avec le CEO""}"
mehdi.essaied87@pfe-project.tn,email_opened,email,0,"{""campaign"": ""whitepaper_download""}"
mehdi.mansour88@pfe-project.tn,email_opened,email,0,"{""campaign"": ""contract_sent""}"
ines.mansour89@pfe-project.tn,meeting,phone,880,"{""summary"": ""Discussion sur les modalites de deploiement Cloud""}"
ines.bouaziz90@pfe-project.tn,website_visit,web,940,"{""page"": ""/pricing"", ""interet"": ""tres eleve""}"
sarra.belkadhi91@pfe-project.tn,meeting,phone,310,"{""summary"": ""Prise de contact - Relancer lundi matin""}"
zied.zahra92@pfe-project.tn,website_visit,web,45,"{""page"": ""/home""}"
haithem.belkadhi0@pfe-project.tn,website_visit,web,512,"{""page"": ""/features/predictive"", ""scroll"": 80}"
sarra.hammami1@pfe-project.tn,email_opened,email,0,"{""campaign"": ""monthly_newsletter_may""}"
mehdi.gharbi2@pfe-project.tn,website_visit,web,240,"{""page"": ""/pricing""}"
yassine.kallel3@pfe-project.tn,meeting,phone,1100,"{""summary"": ""Appel de suivi commercial suite a proposition""}"
omar.ben ali4@pfe-project.tn,email_opened,email,0,"{""campaign"": ""discount_may""}"
fatma.zahra5@pfe-project.tn,website_visit,web,45,"{""page"": ""/features/analytics""}"
omar.gharbi6@pfe-project.tn,email_opened,email,0,"{""campaign"": ""welcome_series""}"
zied.mansour7@pfe-project.tn,meeting,phone,1500,"{""summary"": ""Demo de la plateforme effectuee a distance""}"
amine.kallel8@pfe-project.tn,website_visit,web,340,"{""page"": ""/pricing""}"
karim.mansour85@pfe-project.tn,email_opened,email,0,"{""campaign"": ""monthly_newsletter_may""}"
sami.gharbi86@pfe-project.tn,form_submit,web,0,"{""form_id"": ""contact_expert""}"
mehdi.essaied87@pfe-project.tn,website_visit,web,19,"{""page"": ""/home""}"
mehdi.mansour88@pfe-project.tn,meeting,phone,620,"{""summary"": ""Appel technique sur l infrastructure securite""}"
ines.mansour89@pfe-project.tn,email_opened,email,0,"{""campaign"": ""case_study_sierra""}"
ines.bouaziz90@pfe-project.tn,meeting,physical,2900,"{""summary"": ""Discussion de partenariat stratégique""}"
sarra.belkadhi91@pfe-project.tn,form_submit,web,0,"{""form_id"": ""newsletter_footer""}"
zied.zahra92@pfe-project.tn,email_opened,email,0,"{""campaign"": ""product_update_may""}"
haithem.belkadhi0@pfe-project.tn,meeting,physical,3600,"{""summary"": ""Presentation d offre finale au siege""}"
sarra.hammami1@pfe-project.tn,form_submit,web,0,"{""form_id"": ""request_demo""}"
mehdi.gharbi2@pfe-project.tn,meeting,phone,1350,"{""summary"": ""Negociation finale sur le nombre de profils""}"
yassine.kallel3@pfe-project.tn,website_visit,web,88,"{""page"": ""/blog/ai-crm""}"
omar.ben ali4@pfe-project.tn,form_submit,web,0,"{""form_id"": ""contact_sales""}"
fatma.zahra5@pfe-project.tn,meeting,phone,420,"{""summary"": ""Relance commerciale sans reponse claire""}"
omar.gharbi6@pfe-project.tn,website_visit,web,135,"{""page"": ""/pricing""}"
zied.mansour7@pfe-project.tn,email_opened,email,0,"{""campaign"": ""discount_may""}"
amine.kallel8@pfe-project.tn,form_submit,web,0,"{""form_id"": ""request_quote_v2""}"
karim.mansour85@pfe-project.tn,meeting,physical,1800,"{""summary"": ""Reunion technique d alignement de donnees""}"
sami.gharbi86@pfe-project.tn,email_opened,email,0,"{""campaign"": ""product_update_may""}"
mehdi.essaied87@pfe-project.tn,form_submit,web,0,"{""form_id"": ""newsletter_popup""}"
mehdi.mansour88@pfe-project.tn,website_visit,web,540,"{""page"": ""/docs/api""}"
ines.mansour89@pfe-project.tn,website_visit,web,92,"{""page"": ""/pricing""}"
ines.bouaziz90@pfe-project.tn,email_opened,email,0,"{""campaign"": ""monthly_newsletter_may""}"
sarra.belkadhi91@pfe-project.tn,meeting,phone,510,"{""summary"": ""Prise de contact - Identification du decisionnaire""}"
zied.zahra92@pfe-project.tn,form_submit,web,0,"{""form_id"": ""request_demo""}"
