first_name,last_name,email,phone,company,job_title,source,status,assigned_to_email,created_at
Fares,Daldoul,fares.daldoul33@prospects.tn,+21698812685,DataPulse,Founder,Event,converted,test@test.com,2026-02-28T00:00:00Z
Sabri,Larbi,sabri.larbi34@prospects.tn,+21657512304,AgriTech Plus,CFO,Referral,converted,haithemessaied@test.com,2026-01-20T00:00:00Z
Amani,Ferchichi,amani.ferchichi35@prospects.tn,+21658174668,DataPulse,Operations Manager,Web,lost,mohamed@test.com,2026-03-16T00:00:00Z
Rim,Oueslati,rim.oueslati36@prospects.tn,+21628062744,Medina Soft,Procurement Lead,LinkedIn,lost,test@test.com,2026-03-18T00:00:00Z
Khalil,Jelassi,khalil.jelassi37@prospects.tn,+21630636463,TechNova,IT Manager,Event,active,haithemessaied@test.com,2026-03-08T00:00:00Z
Fares,Hachicha,fares.hachicha38@prospects.tn,+21614340133,ByteForge,Marketing Manager,Web,active,mohamed@test.com,2026-05-12T00:00:00Z
Karim,Jelassi,karim.jelassi39@prospects.tn,+21629724354,Carthage IT,Sales Director,Cold Call,lost,test@test.com,2025-12-25T00:00:00Z
Iheb,Nasri,iheb.nasri40@prospects.tn,+21613045185,Sahara Systems,Sales Director,LinkedIn,active,haithemessaied@test.com,2026-03-04T00:00:00Z
Bilel,Chaouch,bilel.chaouch41@prospects.tn,+21629486200,Medina Soft,Procurement Lead,Cold Call,active,mohamed@test.com,2026-02-25T00:00:00Z
Maha,Naffati,maha.naffati42@prospects.tn,+21609849989,FinTrust,IT Manager,LinkedIn,converted,test@test.com,2026-04-18T00:00:00Z
Hela,Ghali,hela.ghali43@prospects.tn,+21653164007,AgriTech Plus,Operations Manager,Referral,converted,haithemessaied@test.com,2026-01-25T00:00:00Z
Hatem,Nasri,hatem.nasri44@prospects.tn,+21677604977,Sahara Systems,Marketing Manager,Web,new,mohamed@test.com,2026-05-17T00:00:00Z
Seif,Baccouche,seif.baccouche45@prospects.tn,+21666816091,TechNova,Operations Manager,Referral,active,test@test.com,2026-04-25T00:00:00Z
Nidhal,Feki,nidhal.feki46@prospects.tn,+21637766612,Carthage IT,Product Owner,LinkedIn,new,haithemessaied@test.com,2026-05-25T00:00:00Z
Nour,Chaouch,nour.chaouch47@prospects.tn,+21639721639,LogiTrans,IT Manager,LinkedIn,active,mohamed@test.com,2026-04-06T00:00:00Z
Rania,Cherif,rania.cherif48@prospects.tn,+21660471705,HealthSync,Sales Director,LinkedIn,lost,test@test.com,2025-11-12T00:00:00Z
Rim,Baccouche,rim.baccouche49@prospects.tn,+21672207627,LogiTrans,CEO,Event,converted,haithemessaied@test.com,2026-02-12T00:00:00Z
Nidhal,Oueslati,nidhal.oueslati50@prospects.tn,+21677571888,Carthage IT,IT Manager,Web,new,mohamed@test.com,2026-05-30T00:00:00Z
Takwa,Zouari,takwa.zouari51@prospects.tn,+21623264169,HealthSync,Product Owner,Cold Call,lost,test@test.com,2026-01-09T00:00:00Z
Wassim,Ghali,wassim.ghali52@prospects.tn,+21621176454,Carthage IT,Marketing Manager,Cold Call,converted,haithemessaied@test.com,2026-02-17T00:00:00Z
Yosr,Sassi,yosr.sassi53@prospects.tn,+21687503099,DataPulse,Operations Manager,Web,new,mohamed@test.com,2026-05-23T00:00:00Z
Iheb,Ghali,iheb.ghali54@prospects.tn,+21689366563,CloudReef,Founder,Cold Call,new,test@test.com,2026-05-23T00:00:00Z
Ines,Mabrouk,ines.mabrouk55@prospects.tn,+21679474324,CloudReef,Product Owner,LinkedIn,converted,haithemessaied@test.com,2026-01-20T00:00:00Z
Bassem,Hamdi,bassem.hamdi56@prospects.tn,+21634137483,FinTrust,Sales Director,Event,converted,mohamed@test.com,2026-01-26T00:00:00Z
Nour,Limam,nour.limam57@prospects.tn,+21632463384,AgriTech Plus,Operations Manager,Referral,active,test@test.com,2026-04-16T00:00:00Z
Donia,Chaouch,donia.chaouch58@prospects.tn,+21689958080,TechNova,Procurement Lead,LinkedIn,new,haithemessaied@test.com,2026-05-30T00:00:00Z
Dorra,Baccouche,dorra.baccouche59@prospects.tn,+21605052908,BlueWave,Procurement Lead,Cold Call,lost,mohamed@test.com,2025-11-23T00:00:00Z
Jihen,Naffati,jihen.naffati60@prospects.tn,+21623709426,ByteForge,CTO,Cold Call,lost,test@test.com,2026-02-06T00:00:00Z
Rim,Cherif,rim.cherif61@prospects.tn,+21670863998,HealthSync,CEO,LinkedIn,converted,haithemessaied@test.com,2026-02-14T00:00:00Z
Zied,Sassi,zied.sassi62@prospects.tn,+21674253153,AgriTech Plus,CFO,Referral,active,mohamed@test.com,2026-02-24T00:00:00Z
Sirine,Yahyaoui,sirine.yahyaoui63@prospects.tn,+21623099951,Oryx Digital,Sales Director,LinkedIn,new,test@test.com,2026-05-23T00:00:00Z
Jihen,Aouadi,jihen.aouadi64@prospects.tn,+21622739746,Medina Soft,CTO,LinkedIn,new,haithemessaied@test.com,2026-05-30T00:00:00Z
Maha,Zouari,maha.zouari65@prospects.tn,+21686536641,Oryx Digital,IT Manager,Referral,active,mohamed@test.com,2026-03-22T00:00:00Z
Hamza,Sassi,hamza.sassi66@prospects.tn,+21642687446,NextGen Solutions,Product Owner,Cold Call,lost,test@test.com,2025-11-29T00:00:00Z
Maha,Baccouche,maha.baccouche67@prospects.tn,+21659840978,Sahara Systems,CTO,Web,active,haithemessaied@test.com,2026-03-03T00:00:00Z
Aymen,Gabsi,aymen.gabsi68@prospects.tn,+21643755301,Oryx Digital,CTO,Web,lost,mohamed@test.com,2025-10-30T00:00:00Z
Aymen,Baccouche,aymen.baccouche69@prospects.tn,+21607400703,DataPulse,Sales Director,LinkedIn,active,test@test.com,2026-04-02T00:00:00Z
Walid,Karoui,walid.karoui70@prospects.tn,+21637278018,CloudReef,IT Manager,Web,lost,haithemessaied@test.com,2025-12-02T00:00:00Z
Nidhal,Chaabane,nidhal.chaabane71@prospects.tn,+21685656538,Sahara Systems,Sales Director,Referral,active,mohamed@test.com,2026-04-13T00:00:00Z
Jihen,Daldoul,jihen.daldoul72@prospects.tn,+21655445991,CloudReef,Operations Manager,LinkedIn,converted,test@test.com,2026-03-18T00:00:00Z
Donia,Sfar,donia.sfar73@prospects.tn,+21657455259,Carthage IT,CEO,Cold Call,converted,haithemessaied@test.com,2026-04-15T00:00:00Z
Jihen,Hachicha,jihen.hachicha74@prospects.tn,+21663077476,HealthSync,IT Manager,Cold Call,active,mohamed@test.com,2026-02-25T00:00:00Z
Wassim,Zouari,wassim.zouari75@prospects.tn,+21618787068,TechNova,CTO,LinkedIn,active,test@test.com,2026-03-07T00:00:00Z
Nour,Baccouche,nour.baccouche76@prospects.tn,+21655403186,Medina Soft,CTO,Web,lost,haithemessaied@test.com,2026-03-08T00:00:00Z
Ghada,Brahmi,ghada.brahmi77@prospects.tn,+21681771915,TechNova,CFO,LinkedIn,active,mohamed@test.com,2026-04-06T00:00:00Z
Firas,Naffati,firas.naffati78@prospects.tn,+21666768635,Carthage IT,Marketing Manager,Cold Call,new,test@test.com,2026-05-18T00:00:00Z
Rania,Chaouch,rania.chaouch79@prospects.tn,+21659991853,BlueWave,Sales Director,Cold Call,new,haithemessaied@test.com,2026-05-16T00:00:00Z
Bilel,Issaoui,bilel.issaoui80@prospects.tn,+21620075654,FinTrust,Procurement Lead,Web,lost,mohamed@test.com,2026-03-10T00:00:00Z
Takwa,Mejri,takwa.mejri81@prospects.tn,+21652853686,DataPulse,Product Owner,Cold Call,lost,test@test.com,2026-01-07T00:00:00Z
Khalil,Chaabane,khalil.chaabane82@prospects.tn,+21663771771,SmartGrid,Founder,Event,active,haithemessaied@test.com,2026-03-19T00:00:00Z
Karim,Oueslati,karim.oueslati83@prospects.tn,+21657250824,Oryx Digital,Sales Director,LinkedIn,new,mohamed@test.com,2026-06-01T00:00:00Z
Chaima,Chaabane,chaima.chaabane84@prospects.tn,+21691899042,LogiTrans,Product Owner,Referral,active,test@test.com,2026-03-13T00:00:00Z
Donia,Dridi,donia.dridi85@prospects.tn,+21690687152,Medina Soft,CEO,Event,converted,haithemessaied@test.com,2026-02-14T00:00:00Z
Zied,Yahyaoui,zied.yahyaoui86@prospects.tn,+21629171143,DataPulse,Founder,Referral,active,mohamed@test.com,2026-03-20T00:00:00Z
Chaima,Mejri,chaima.mejri87@prospects.tn,+21628009419,LogiTrans,IT Manager,Web,new,test@test.com,2026-05-17T00:00:00Z
Chedi,Ayari,chedi.ayari88@prospects.tn,+21694743439,ByteForge,Product Owner,Cold Call,active,haithemessaied@test.com,2026-05-10T00:00:00Z
Bassem,Hachicha,bassem.hachicha89@prospects.tn,+21631328709,Carthage IT,IT Manager,Event,new,mohamed@test.com,2026-05-19T00:00:00Z
Bassem,Jelassi,bassem.jelassi90@prospects.tn,+21658690795,Sahara Systems,Marketing Manager,Event,converted,test@test.com,2026-04-14T00:00:00Z
Seif,Jelassi,seif.jelassi91@prospects.tn,+21672107587,Sahara Systems,CEO,LinkedIn,active,haithemessaied@test.com,2026-03-29T00:00:00Z
Sabri,Larbi,sabri.larbi92@prospects.tn,+21602103798,Medina Soft,Procurement Lead,Referral,new,mohamed@test.com,2026-05-28T00:00:00Z
Sabri,Brahmi,sabri.brahmi93@prospects.tn,+21613758056,Medina Soft,CEO,Cold Call,new,test@test.com,2026-06-02T00:00:00Z
Sirine,Baccouche,sirine.baccouche94@prospects.tn,+21601208334,BlueWave,Product Owner,Web,active,haithemessaied@test.com,2026-04-21T00:00:00Z
Bassem,Feki,bassem.feki95@prospects.tn,+21620359695,NextGen Solutions,Operations Manager,LinkedIn,converted,mohamed@test.com,2026-03-15T00:00:00Z
Lina,Rekik,lina.rekik96@prospects.tn,+21666438604,ByteForge,IT Manager,Web,new,test@test.com,2026-05-23T00:00:00Z
Maha,Yahyaoui,maha.yahyaoui97@prospects.tn,+21660494453,TechNova,Founder,Cold Call,lost,haithemessaied@test.com,2026-01-18T00:00:00Z
Dorra,Naffati,dorra.naffati98@prospects.tn,+21603134396,NextGen Solutions,IT Manager,Cold Call,active,mohamed@test.com,2026-05-12T00:00:00Z
Anis,Baccouche,anis.baccouche99@prospects.tn,+21666028396,Oryx Digital,Procurement Lead,Event,converted,test@test.com,2026-01-10T00:00:00Z
Rim,Dridi,rim.dridi100@prospects.tn,+21688810128,AgriTech Plus,Sales Director,Referral,active,haithemessaied@test.com,2026-03-13T00:00:00Z
Hatem,Hamdi,hatem.hamdi101@prospects.tn,+21648193989,CloudReef,IT Manager,LinkedIn,active,mohamed@test.com,2026-03-10T00:00:00Z
Mariem,Haddad,mariem.haddad102@prospects.tn,+21614444057,TechNova,IT Manager,Cold Call,converted,test@test.com,2026-03-05T00:00:00Z
Bilel,Issaoui,bilel.issaoui103@prospects.tn,+21617736765,TechNova,CTO,Cold Call,lost,haithemessaied@test.com,2025-11-18T00:00:00Z
Bilel,Cherif,bilel.cherif104@prospects.tn,+21643541663,BlueWave,CTO,Referral,converted,mohamed@test.com,2026-02-07T00:00:00Z
Ghada,Oueslati,ghada.oueslati105@prospects.tn,+21649208883,BlueWave,IT Manager,Referral,converted,test@test.com,2026-02-13T00:00:00Z
Fares,Dridi,fares.dridi106@prospects.tn,+21688784484,DataPulse,Product Owner,Referral,active,haithemessaied@test.com,2026-02-27T00:00:00Z
Rania,Baccouche,rania.baccouche107@prospects.tn,+21663859061,LogiTrans,Operations Manager,Cold Call,active,mohamed@test.com,2026-04-02T00:00:00Z
Yassine,Gabsi,yassine.gabsi108@prospects.tn,+21693024564,BlueWave,IT Manager,Cold Call,converted,test@test.com,2026-04-10T00:00:00Z
Rim,Daldoul,rim.daldoul109@prospects.tn,+21661816638,Oryx Digital,CFO,LinkedIn,active,haithemessaied@test.com,2026-02-06T00:00:00Z
Hamza,Larbi,hamza.larbi110@prospects.tn,+21662369695,FinTrust,IT Manager,Cold Call,lost,mohamed@test.com,2026-02-04T00:00:00Z
Seif,Hachicha,seif.hachicha111@prospects.tn,+21647828850,CloudReef,CEO,Web,active,test@test.com,2026-02-20T00:00:00Z
Wassim,Cherif,wassim.cherif112@prospects.tn,+21639935026,AgriTech Plus,Operations Manager,Event,converted,haithemessaied@test.com,2026-01-08T00:00:00Z
Hamza,Oueslati,hamza.oueslati113@prospects.tn,+21652371130,HealthSync,CFO,Event,converted,mohamed@test.com,2026-04-20T00:00:00Z
Zied,Hamdi,zied.hamdi114@prospects.tn,+21627057554,ByteForge,Marketing Manager,Referral,active,test@test.com,2026-05-02T00:00:00Z
Hela,Riahi,hela.riahi115@prospects.tn,+21631070708,SmartGrid,Founder,Web,active,haithemessaied@test.com,2026-04-06T00:00:00Z
Bassem,Larbi,bassem.larbi116@prospects.tn,+21665128117,LogiTrans,CEO,Event,new,mohamed@test.com,2026-05-22T00:00:00Z
Ghada,Karoui,ghada.karoui117@prospects.tn,+21643161693,Medina Soft,IT Manager,Referral,converted,test@test.com,2026-02-03T00:00:00Z
Donia,Feki,donia.feki118@prospects.tn,+21632772453,Carthage IT,CEO,Referral,converted,haithemessaied@test.com,2026-03-07T00:00:00Z
Aymen,Rekik,aymen.rekik119@prospects.tn,+21655335802,HealthSync,Marketing Manager,Referral,converted,mohamed@test.com,2026-01-20T00:00:00Z
Seif,Haddad,seif.haddad120@prospects.tn,+21658119549,BlueWave,CEO,Referral,active,test@test.com,2026-04-29T00:00:00Z
Donia,Jaziri,donia.jaziri121@prospects.tn,+21665305287,Oryx Digital,IT Manager,Event,active,haithemessaied@test.com,2026-02-06T00:00:00Z
Anis,Hachicha,anis.hachicha122@prospects.tn,+21653284145,ByteForge,Founder,Cold Call,new,mohamed@test.com,2026-05-19T00:00:00Z
Hela,Larbi,hela.larbi123@prospects.tn,+21674352337,FinTrust,Sales Director,Web,new,test@test.com,2026-05-22T00:00:00Z
Dorra,Haddad,dorra.haddad124@prospects.tn,+21600194020,TechNova,Procurement Lead,Cold Call,new,haithemessaied@test.com,2026-05-23T00:00:00Z
Aymen,Sfar,aymen.sfar125@prospects.tn,+21698642682,TechNova,CFO,Event,new,mohamed@test.com,2026-05-16T00:00:00Z
Rania,Jaziri,rania.jaziri126@prospects.tn,+21697335570,DataPulse,Founder,Referral,active,test@test.com,2026-04-26T00:00:00Z
Nidhal,Issaoui,nidhal.issaoui127@prospects.tn,+21642372784,SmartGrid,Founder,Referral,converted,haithemessaied@test.com,2026-01-16T00:00:00Z
Aymen,Riahi,aymen.riahi128@prospects.tn,+21603874153,TechNova,CEO,LinkedIn,new,mohamed@test.com,2026-05-20T00:00:00Z
Takwa,Baccouche,takwa.baccouche129@prospects.tn,+21634273821,CloudReef,CFO,Cold Call,lost,test@test.com,2025-10-22T00:00:00Z
Hamza,Riahi,hamza.riahi130@prospects.tn,+21618740418,BlueWave,Founder,Referral,converted,haithemessaied@test.com,2026-01-17T00:00:00Z
Walid,Hachicha,walid.hachicha131@prospects.tn,+21690336763,HealthSync,Operations Manager,Referral,new,mohamed@test.com,2026-05-23T00:00:00Z
Firas,Larbi,firas.larbi132@prospects.tn,+21610850370,ByteForge,CFO,LinkedIn,new,test@test.com,2026-05-30T00:00:00Z
Firas,Hamdi,firas.hamdi133@prospects.tn,+21622618068,SmartGrid,Operations Manager,Cold Call,new,haithemessaied@test.com,2026-05-26T00:00:00Z
Nidhal,Hachicha,nidhal.hachicha134@prospects.tn,+21665942034,CloudReef,Product Owner,Web,new,mohamed@test.com,2026-05-22T00:00:00Z
Wassim,Baccouche,wassim.baccouche135@prospects.tn,+21664727757,Carthage IT,IT Manager,LinkedIn,active,test@test.com,2026-03-09T00:00:00Z
Donia,Rekik,donia.rekik136@prospects.tn,+21681266261,TechNova,Sales Director,Web,active,haithemessaied@test.com,2026-03-25T00:00:00Z
Dorra,Rekik,dorra.rekik137@prospects.tn,+21651823097,Oryx Digital,Operations Manager,LinkedIn,new,mohamed@test.com,2026-05-23T00:00:00Z
Zied,Haddad,zied.haddad138@prospects.tn,+21609526188,NextGen Solutions,CTO,LinkedIn,active,test@test.com,2026-02-25T00:00:00Z
Firas,Zouari,firas.zouari139@prospects.tn,+21603151435,BlueWave,IT Manager,Cold Call,active,haithemessaied@test.com,2026-02-08T00:00:00Z
Hamza,Haddad,hamza.haddad140@prospects.tn,+21612230631,TechNova,CFO,Event,converted,mohamed@test.com,2026-04-28T00:00:00Z
Skander,Mejri,skander.mejri141@prospects.tn,+21637887065,FinTrust,CTO,Event,converted,test@test.com,2026-03-08T00:00:00Z
Ghada,Haddad,ghada.haddad142@prospects.tn,+21655655995,SmartGrid,IT Manager,Referral,converted,haithemessaied@test.com,2026-01-25T00:00:00Z
Yassine,Gabsi,yassine.gabsi143@prospects.tn,+21610313528,DataPulse,CFO,Cold Call,active,mohamed@test.com,2026-03-04T00:00:00Z
Donia,Hachicha,donia.hachicha144@prospects.tn,+21652073455,NextGen Solutions,Procurement Lead,LinkedIn,converted,test@test.com,2026-04-17T00:00:00Z
Chaima,Guesmi,chaima.guesmi145@prospects.tn,+21681099880,FinTrust,CTO,Referral,active,haithemessaied@test.com,2026-02-09T00:00:00Z
Takwa,Ghali,takwa.ghali146@prospects.tn,+21628395794,Sahara Systems,Founder,Web,lost,mohamed@test.com,2026-02-28T00:00:00Z
Skander,Limam,skander.limam147@prospects.tn,+21633629586,HealthSync,Procurement Lead,Web,new,test@test.com,2026-05-30T00:00:00Z
Fares,Elloumi,fares.elloumi148@prospects.tn,+21662219935,NextGen Solutions,Sales Director,Event,new,haithemessaied@test.com,2026-05-16T00:00:00Z
Aymen,Ferchichi,aymen.ferchichi149@prospects.tn,+21665105718,CloudReef,CEO,Cold Call,lost,mohamed@test.com,2025-12-07T00:00:00Z
Bilel,Rekik,bilel.rekik150@prospects.tn,+21665200718,Medina Soft,IT Manager,LinkedIn,converted,test@test.com,2026-02-18T00:00:00Z
Donia,Limam,donia.limam151@prospects.tn,+21655602338,Medina Soft,Sales Director,Referral,converted,haithemessaied@test.com,2026-02-01T00:00:00Z
Chaima,Mejri,chaima.mejri152@prospects.tn,+21637593379,Sahara Systems,Sales Director,LinkedIn,new,mohamed@test.com,2026-05-19T00:00:00Z
Lina,Chaabane,lina.chaabane153@prospects.tn,+21690704486,Medina Soft,Marketing Manager,LinkedIn,converted,test@test.com,2026-01-11T00:00:00Z
Firas,Tlili,firas.tlili154@prospects.tn,+21688780418,SmartGrid,Founder,Cold Call,active,haithemessaied@test.com,2026-04-05T00:00:00Z
Ines,Hachicha,ines.hachicha155@prospects.tn,+21674882211,Medina Soft,CTO,LinkedIn,active,mohamed@test.com,2026-03-14T00:00:00Z
Hatem,Zouari,hatem.zouari156@prospects.tn,+21676013369,AgriTech Plus,CEO,LinkedIn,active,test@test.com,2026-04-03T00:00:00Z
Mariem,Yahyaoui,mariem.yahyaoui157@prospects.tn,+21605397018,SmartGrid,Procurement Lead,Event,active,haithemessaied@test.com,2026-03-06T00:00:00Z
Aymen,Tlili,aymen.tlili158@prospects.tn,+21670959203,LogiTrans,Founder,Web,new,mohamed@test.com,2026-05-25T00:00:00Z
Nidhal,Khelifi,nidhal.khelifi159@prospects.tn,+21677076222,Carthage IT,IT Manager,Cold Call,active,test@test.com,2026-05-03T00:00:00Z
Firas,Riahi,firas.riahi160@prospects.tn,+21678664331,AgriTech Plus,Founder,Web,new,haithemessaied@test.com,2026-05-23T00:00:00Z
Nidhal,Tlili,nidhal.tlili161@prospects.tn,+21649182319,SmartGrid,IT Manager,Referral,converted,mohamed@test.com,2026-02-08T00:00:00Z
Khalil,Hachicha,khalil.hachicha162@prospects.tn,+21661677815,SmartGrid,Founder,Web,lost,test@test.com,2025-12-30T00:00:00Z
Skander,Cherif,skander.cherif163@prospects.tn,+21688960115,Oryx Digital,CFO,Cold Call,lost,haithemessaied@test.com,2026-03-04T00:00:00Z
Seif,Jaziri,seif.jaziri164@prospects.tn,+21641235078,SmartGrid,CTO,Cold Call,lost,mohamed@test.com,2025-10-22T00:00:00Z
Fares,Riahi,fares.riahi165@prospects.tn,+21664139819,BlueWave,Sales Director,LinkedIn,active,test@test.com,2026-03-08T00:00:00Z
Maha,Hamdi,maha.hamdi166@prospects.tn,+21616582545,SmartGrid,CEO,Event,lost,haithemessaied@test.com,2025-12-27T00:00:00Z
Aymen,Rekik,aymen.rekik167@prospects.tn,+21608047906,AgriTech Plus,CFO,Referral,active,mohamed@test.com,2026-03-18T00:00:00Z
Mariem,Oueslati,mariem.oueslati168@prospects.tn,+21655627041,DataPulse,Product Owner,Web,lost,test@test.com,2026-03-12T00:00:00Z
Lina,Issaoui,lina.issaoui169@prospects.tn,+21663172150,DataPulse,Sales Director,Event,active,haithemessaied@test.com,2026-02-11T00:00:00Z
Nidhal,Limam,nidhal.limam170@prospects.tn,+21649926325,Oryx Digital,CEO,LinkedIn,converted,mohamed@test.com,2026-03-07T00:00:00Z
Wassim,Oueslati,wassim.oueslati171@prospects.tn,+21600968967,DataPulse,CTO,Event,active,test@test.com,2026-04-22T00:00:00Z
Donia,Riahi,donia.riahi172@prospects.tn,+21669710524,HealthSync,Operations Manager,LinkedIn,active,haithemessaied@test.com,2026-04-19T00:00:00Z
Firas,Ghali,firas.ghali173@prospects.tn,+21690476103,NextGen Solutions,Product Owner,Cold Call,active,mohamed@test.com,2026-03-09T00:00:00Z
Seif,Naffati,seif.naffati174@prospects.tn,+21605358490,TechNova,IT Manager,Web,new,test@test.com,2026-05-20T00:00:00Z
Jihen,Chaouch,jihen.chaouch175@prospects.tn,+21696260698,DataPulse,Operations Manager,Event,new,haithemessaied@test.com,2026-06-04T00:00:00Z
Amani,Limam,amani.limam176@prospects.tn,+21695187753,DataPulse,Product Owner,LinkedIn,new,mohamed@test.com,2026-05-25T00:00:00Z
Skander,Mejri,skander.mejri177@prospects.tn,+21610684876,NextGen Solutions,Sales Director,Cold Call,lost,test@test.com,2026-03-26T00:00:00Z
Chedi,Jelassi,chedi.jelassi178@prospects.tn,+21667302150,SmartGrid,Founder,Referral,lost,haithemessaied@test.com,2025-11-20T00:00:00Z
Nour,Rekik,nour.rekik179@prospects.tn,+21611894190,SmartGrid,Product Owner,LinkedIn,active,mohamed@test.com,2026-05-10T00:00:00Z
Hatem,Yahyaoui,hatem.yahyaoui180@prospects.tn,+21624180504,NextGen Solutions,CFO,Referral,lost,test@test.com,2026-01-28T00:00:00Z
Marwen,Dridi,marwen.dridi181@prospects.tn,+21630521447,NextGen Solutions,Product Owner,Cold Call,lost,haithemessaied@test.com,2026-01-17T00:00:00Z
Walid,Haddad,walid.haddad182@prospects.tn,+21680849582,FinTrust,Procurement Lead,Cold Call,converted,mohamed@test.com,2026-02-22T00:00:00Z
Firas,Gabsi,firas.gabsi183@prospects.tn,+21679126043,FinTrust,Operations Manager,Event,new,test@test.com,2026-06-04T00:00:00Z
Chaima,Ayari,chaima.ayari184@prospects.tn,+21680830429,Carthage IT,CFO,Cold Call,converted,haithemessaied@test.com,2026-02-05T00:00:00Z
